,kenteken,voertuigsoort,merk,handelsbenaming,vervaldatum_apk,datum_tenaamstelling,inrichting,aantal_zitplaatsen,eerste_kleur,massa_ledig_voertuig,toegestane_maximum_massa_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,plaats_chassisnummer,technische_max_massa_voertuig,typegoedkeuringsnummer,variant,uitvoering,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,jaar_laatste_registratie_tellerstand,maximum_massa_samenstelling,tellerstandoordeel,aantal_rolstoelplaatsen,code_toelichting_tellerstandoordeel,api_gekentekende_voertuigen_assen,tenaamstellen_mogelijk,vervaldatum_apk_dt,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,datum_tenaamstelling_dt,datum_eerste_toelating_dt,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,datum_eerste_tenaamstelling_in_nederland_dt
0,00PSK5,Personenauto,MITSUBISHI,MITSUBISHI I-MIEV,2023-11-08,2022-05-11,stationwagen,4,WIT,1085,1450,1185,20110318,20110318,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e1*2007/46*0527*01,HA311,AAAAAAA4AAAA,0,0.03,255,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-11-08,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2022-05-11,2011-03-18,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2011-03-18
1,00SFJ1,Personenauto,NISSAN,NISSAN LEAF,2023-09-25,2018-02-23,MPV,5,ZWART,1500,1965,1600,20110924,20110924,Geen verstrekking in Open Data,Ja,4,4,0,0,445,0,M1,r. schutbord,1965,e11*2007/46*0230*00,A,A01,0,0.05,269,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-09-25,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2018-02-23,2011-09-24,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2011-09-24
2,00SJJ7,Personenauto,CITROEN,C-ZERO,2023-10-08,2013-12-31,MPV,4,ROOD,1095,1450,1195,20111004,20111004,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e2*2007/46*0068*00,NZKZ,Z,0,0.03,255,Nee,Nee,Nee,2022,0,Geen oordeel,0,07,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-10-08,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2013-12-31,2011-10-04,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2011-10-04
3,00SJT8,Personenauto,NISSAN,NISSAN LEAF,2023-03-15,2021-03-01,MPV,5,WIT,1500,1965,1600,20120315,20120315,Geen verstrekking in Open Data,Ja,4,4,0,0,445,0,M1,r. schutbord,1965,e11*2007/46*0230*00,A,A01,0,0.05,269,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-03-15,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2021-03-01,2012-03-15,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-03-15
4,00SPS2,Personenauto,NISSAN,NISSAN LEAF,2023-08-10,2016-09-05,MPV,5,WIT,1500,1965,1600,20111115,20111115,Geen verstrekking in Open Data,Ja,4,4,0,0,445,0,M1,r. schutbord,1965,e11*2007/46*0230*00,A,A01,0,0.05,269,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-08-10,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2016-09-05,2011-11-15,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2011-11-15
5,00SXJ8,Personenauto,MAZDA,MAZDA RX-8,2020-12-24,2011-12-30,sedan,4,GRIJS,1290,1815,1390,20040805,20111219,Geen verstrekking in Open Data,Nee,4,4,0,0,443,0,M1,r. tegen schutbord onder motorkap,1815,e11*2001/116*0199*01,173,6,0,0.12,270,Nee,Ja,Nee,2019,3015,Geen oordeel,0,05,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2020-12-24,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2011-12-30,2004-08-05,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2011-12-19
6,00XLP1,Personenauto,NISSAN,NISSAN LEAF,2023-08-09,2018-03-05,MPV,5,WIT,1500,1965,1600,20120629,20120629,Geen verstrekking in Open Data,Ja,4,4,0,0,445,0,M1,r. schutbord,1965,e11*2007/46*0230*00,A,A01,0,0.05,269,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-08-09,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2018-03-05,2012-06-29,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-06-29
7,00XXF1,Personenauto,CITROEN,C-ZERO,2023-09-06,2022-01-06,MPV,4,ZWART,1095,1450,1195,20120906,20120906,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e2*2007/46*0068*00,NZKZ,Z,0,0.03,255,Nee,Nee,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-09-06,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2022-01-06,2012-09-06,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-09-06
8,00XZP4,Personenauto,PEUGEOT,ION,2023-02-20,2020-02-20,MPV,4,ZWART,1095,1450,1195,20121031,20121031,Geen verstrekking in Open Data,Ja,4,4,0,0,348,0,M1,r. kofferruimte,1450,e2*2007/46*0069*00,NZKZ,Z,0,0.03,255,Nee,Ja,Nee,2022,0,Logisch,0,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,2023-02-20,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,2020-02-20,2012-10-31,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,2012-10-31
9,0117HP,Personenauto,N.S.U.,RO 80,,1977-09-30,Niet geregistreerd,,WIT,1230,,1330,19690103,19690103,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,r. op schutbord,0,,,,0,0.00,286,Nee,Nee,Nee,2019,0,Logisch,,00,https://opendata.rdw.nl/resource/3huj-srit.json,Ja,,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,1977-09-30,1969-01-03,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,1969-01-03
