"kenteken","voertuigsoort","merk","handelsbenaming","vervaldatum_apk","datum_tenaamstelling","bruto_bpm","inrichting","aantal_zitplaatsen","eerste_kleur","tweede_kleur","aantal_cilinders","cilinderinhoud","massa_ledig_voertuig","toegestane_maximum_massa_voertuig","massa_rijklaar","maximum_massa_trekken_ongeremd","maximum_trekken_massa_geremd","datum_eerste_toelating","datum_eerste_tenaamstelling_in_nederland","wacht_op_keuren","catalogusprijs","wam_verzekerd","maximale_constructiesnelheid","laadvermogen","oplegger_geremd","aanhangwagen_autonoom_geremd","aanhangwagen_middenas_geremd","aantal_staanplaatsen","aantal_deuren","aantal_wielen","afstand_hart_koppeling_tot_achterzijde_voertuig","afstand_voorzijde_voertuig_tot_hart_koppeling","afwijkende_maximum_snelheid","lengte","breedte","europese_voertuigcategorie","europese_voertuigcategorie_toevoeging","europese_uitvoeringcategorie_toevoeging","plaats_chassisnummer","technische_max_massa_voertuig","type","type_gasinstallatie","typegoedkeuringsnummer","variant","uitvoering","volgnummer_wijziging_eu_typegoedkeuring","vermogen_massarijklaar","wielbasis","export_indicator","openstaande_terugroepactie_indicator","vervaldatum_tachograaf","taxi_indicator","maximum_massa_samenstelling","aantal_rolstoelplaatsen","maximum_ondersteunende_snelheid","jaar_laatste_registratie_tellerstand","tellerstandoordeel","code_toelichting_tellerstandoordeel","tenaamstellen_mogelijk","vervaldatum_apk_dt","datum_tenaamstelling_dt","datum_eerste_toelating_dt","datum_eerste_tenaamstelling_in_nederland_dt","vervaldatum_tachograaf_dt","maximum_last_onder_de_vooras_sen_tezamen_koppeling","type_remsysteem_voertuig_code","rupsonderstelconfiguratiecode","wielbasis_voertuig_minimum","wielbasis_voertuig_maximum","lengte_voertuig_minimum","lengte_voertuig_maximum","breedte_voertuig_minimum","breedte_voertuig_maximum","hoogte_voertuig","hoogte_voertuig_minimum","hoogte_voertuig_maximum","massa_bedrijfsklaar_minimaal","massa_bedrijfsklaar_maximaal","technisch_toelaatbaar_massa_koppelpunt","maximum_massa_technisch_maximaal","maximum_massa_technisch_minimaal","subcategorie_nederland","verticale_belasting_koppelpunt_getrokken_voertuig","zuinigheidsclassificatie","registratie_datum_goedkeuring_afschrijvingsmoment_bpm","registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt","api_gekentekende_voertuigen_assen","api_gekentekende_voertuigen_brandstof","api_gekentekende_voertuigen_carrosserie","api_gekentekende_voertuigen_carrosserie_specifiek","api_gekentekende_voertuigen_voertuigklasse"
"G221FG","Personenauto","TESLA","MODEL 3","20230913","20190913",,"sedan","5","BLAUW","Niet geregistreerd",,,"1831","2305","1931",,,"20190913","20190913","Geen verstrekking in Open Data","60950","Ja","233",,,,,,"4","4","0","0",,"469","0","M1",,,,"2305","003",,"e4*2007/46*1293*04","E3D","BB1N","0","0.03","288","Nee","Ja",,"Nee","0","0","0.00","2022","Logisch","00","Ja","2023-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FH","Personenauto","SEAT","IBIZA","20230510","20200725","2655","hatchback","5","ZWART","Niet geregistreerd","3","999","1034","1575","1134","560","1000","20190510","20190911","Geen verstrekking in Open Data","23465","Ja","182",,,,,,"5","4","0","0",,"0","178","M1",,,"r. motorruimte","1575","KJ",,"e9*2007/46*3134*17","BDKLA","FM5SFM5DF0027CP2B1CA","0","0.06","255","Nee","Nee",,"Nee","2575","0","0.00","2020","Geen oordeel","05","Ja","2023-05-10T00:00:00.000","2020-07-25T00:00:00.000","2019-05-10T00:00:00.000","2019-09-11T00:00:00.000",,,,,,,,,,,"144",,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FJ","Personenauto","FORD","KUGA","20231029","20220905","2868","MPV","5","GRIJS","Niet geregistreerd","4","1498","1479","2100","1579","750","2000","20151029","20190909","Geen verstrekking in Open Data","38140","Ja","195",,,,,,"4","4","0","0",,"0","0","M1",,,,"2100","DM2",,"e13*2001/116*0109*38","M8MA1A","5TN1PC","0","0.07","269","Nee","Nee",,"Nee","4100","0","0.00","2022","Geen oordeel","05","Nee","2023-10-29T00:00:00.000","2022-09-05T00:00:00.000","2015-10-29T00:00:00.000","2019-09-09T00:00:00.000",,,,,,,,,,,,,,,,,,,,,"C",,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FK","Personenauto","SKODA","FABIA","20231014","20191014","2990","stationwagen","5","BLAUW","Niet geregistreerd","3","999","1036","1591","1136","560","1000","20191014","20191014","Geen verstrekking in Open Data","21175","Ja","187",,,,,,"2","4","0","0",,"0","0","M1",,,,"1591","5J",,"e8*2007/46*0319*05","ACDKLDX01","NFM5FM5DF0024BFN1C8A","0","0.06","246","Nee","Nee",,"Nee","2591","0","0.00","2020","Logisch","00","Ja","2023-10-14T00:00:00.000","2019-10-14T00:00:00.000","2019-10-14T00:00:00.000","2019-10-14T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FL","Personenauto","TOYOTA","TOYOTA RAV4","20230913","20190913","2728","stationwagen","5","BLAUW","Niet geregistreerd","4","2487","1620","2225","1720","750","1650","20190913","20190913","Geen verstrekking in Open Data","47570","Ja","180",,,,,,"4","4","0","0",,"460","0","M1",,,,"2225","XA5(EU,M)",,"e6*2007/46*0289*01","AXAH54(N)","AXAH54L-ANXMBW(1B)","0","0.08","269","Nee","Nee",,"Nee","3875","0","0.00","2022","Logisch","00","Ja","2023-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FN","Personenauto","SEAT","ARONA","20230506","20191101","2861","hatchback","5","GRIJS","Niet geregistreerd","3","999","1089","1625","1189","590","1100","20190506","20191101","Geen verstrekking in Open Data","27030","Ja","182",,,,,,"5","4","0","0",,"0","178","M1",,,,"1625","KJ",,"e9*2007/46*3134*17","XDKRF","FM6SFM6AJ0167CP3A1BA","0","0.07","255","Nee","Nee",,"Nee","2725","0","0.00","2022","Geen oordeel","05","Ja","2023-05-06T00:00:00.000","2019-11-01T00:00:00.000","2019-05-06T00:00:00.000","2019-11-01T00:00:00.000",,,,,,,,,,,"155",,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FP","Personenauto","TOYOTA","TOYOTA AYGO","20230913","20201125","1402","hatchback","4","WIT","Niet geregistreerd","3","998","830","1240","930",,,"20190913","20190913","Geen verstrekking in Open Data","13890","Ja","160",,,,,,"4","4","0","0",,"347","0","M1",,,,"1240","AB1",,"e11*2001/116*0236*14","KGB40(H)","KGB40L-AHMGKW(3Q)","0","0.06","234","Nee","Nee",,"Nee","1240","0","0.00","2021","Logisch","00","Ja","2023-09-13T00:00:00.000","2020-11-25T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FR","Personenauto","VOLKSWAGEN","PASSAT","20230913","20190913","5741","stationwagen","5","ZWART","Niet geregistreerd","4","1498","1365","2060","1465","730","1600","20190913","20190913","Geen verstrekking in Open Data","44695","Ja","213",,,,,,"5","4","0","0",,"0","0","M1",,,,"2060","3C",,"e1*2001/116*0307*57","ACDADAX0","FD7FD7CW002SV7CPVR21BB","0","0.08","279","Nee","Nee",,"Nee","3700","0","0.00","2022","Logisch","00","Ja","2023-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FS","Personenauto","BMW","218I ACTIVE TOURER","20230919","20190919","6789","stationwagen","5","GRIJS","Niet geregistreerd","3","1499","1360","1945","1460","695","1300","20190919","20190919","Geen verstrekking in Open Data","45313","Ja","205",,,,,,"4","4","0","0",,"435","0","M1",,,,"1945","F2AT",,"e1*2007/46*1675*06","6S11","DAW500L0","0","0.07","267","Nee","Nee",,"Nee","3245","0","0.00","2021","Logisch","00","Ja","2023-09-19T00:00:00.000","2019-09-19T00:00:00.000","2019-09-19T00:00:00.000","2019-09-19T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
"G221FV","Personenauto","VOLKSWAGEN","UP!","20230916","20210126","1942","hatchback","4","ZWART","Niet geregistreerd","3","999","834","1330","934",,,"20190916","20190916","Geen verstrekking in Open Data","13695","Ja","162",,,,,,"5","4","0","0",,"360","0","M1",,,,"1330","AA",,"e13*2007/46*1167*23","ABCHYA","FM5FM5CF0117CPVR2N1SVW1BM","0","0.05","241","Nee","Nee",,"Nee","0","0","0.00","2021","Logisch","00","Ja","2023-09-16T00:00:00.000","2021-01-26T00:00:00.000","2019-09-16T00:00:00.000","2019-09-16T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,"https://opendata.rdw.nl/resource/3huj-srit.json","https://opendata.rdw.nl/resource/8ys7-d773.json","https://opendata.rdw.nl/resource/vezc-m2t6.json","https://opendata.rdw.nl/resource/jhie-znh9.json","https://opendata.rdw.nl/resource/kmfi-hrps.json"
